Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
1001,300.38100,2.21072,13.80000,12.00000,12.30000,11.90001,10.50000,10.20000,10.40001,10.70000,11.92297,10.95615,50.44404,80.66042,175.36230,2.97821,-0.68176
2006,300.61070,1.69682,13.80000,12.10001,12.30000,11.90001,10.50000,10.30000,10.40001,10.70000,11.91565,10.96347,50.44709,80.66348,175.10410,2.93561,-1.47282
3003,300.74580,1.31168,13.90001,12.00000,12.30000,11.90001,10.50000,10.30000,10.40001,10.60001,11.92297,10.97079,50.44404,80.66348,174.56230,2.77412,-1.86389
4000,300.77730,1.03743,13.90001,12.10001,12.30000,11.90001,10.50000,10.20000,10.40001,10.70000,11.92297,10.95248,50.44404,80.66348,174.83600,2.68289,-1.56509
5001,300.70320,0.86835,13.90001,12.00000,12.30000,11.90001,10.50000,10.30000,10.40001,10.70000,11.92663,10.95981,50.41658,80.66042,175.49910,2.57353,-1.55187
