Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
1009,299.81540,0.00263,17.40001,12.20000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.11341,12.42104,51.06662,50.32197,177.51970,1.57350,-0.29659
2005,299.50160,0.00253,17.50000,12.20000,12.40001,12.20000,12.10001,12.20000,11.40001,12.30000,12.12806,12.42104,51.06662,50.31587,177.18700,1.59861,-1.13451
3005,299.52940,0.00267,17.40001,12.20000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.10975,12.41737,51.06357,50.31892,178.25840,1.58272,-0.06288
4005,299.94910,0.00261,17.50000,12.20000,12.40001,12.20000,12.10001,12.10001,11.40001,12.40001,12.11341,12.42104,51.06357,50.32502,178.75240,1.64089,0.65256
5003,300.29030,0.00266,17.50000,12.20000,12.40001,12.20000,12.10001,12.10001,11.40001,12.40001,12.12073,12.42104,51.07578,50.32197,179.37770,1.63994,0.89771
6002,300.16420,0.00253,17.40001,12.20000,12.40001,12.20000,12.10001,12.10001,11.40001,12.40001,12.11341,12.37708,51.02085,50.29145,179.28870,1.59670,1.40410
7000,300.20870,0.00267,17.50000,12.20000,12.40001,12.20000,12.10001,12.20000,11.40001,12.40001,12.12073,12.37342,51.03305,50.29451,178.60560,1.60433,0.66275
8000,300.34770,0.00263,17.40001,12.20000,12.40001,12.20000,12.10001,12.20000,11.40001,12.40001,12.10608,12.37342,51.03000,50.28840,177.91350,1.63517,-0.41211
8992,300.31810,0.00254,17.40001,12.20000,12.40001,12.20000,12.10001,12.10001,11.40001,12.40001,12.11341,12.37708,51.02695,50.28230,177.81780,1.65933,0.25595
10003,299.96950,0.00244,17.40001,12.20000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.10975,12.37342,50.98727,50.24568,178.35300,1.62468,0.57101
10999,299.86180,0.00266,17.40001,12.20000,12.40001,12.20000,12.10001,12.20000,11.40001,12.40001,12.10975,12.36976,50.98727,50.23957,178.76800,1.59066,-0.23901
