Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
1008,300.77910,1.99951,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.30000,12.29652,12.28553,50.19379,64.56496,177.07900,1.95971,-1.90038
2014,300.01210,2.00017,16.30000,12.40001,12.60001,12.30000,12.00000,12.10001,11.30000,12.40001,12.29285,12.32215,50.19379,64.48866,175.86300,1.88691,-1.09786
3004,299.69850,2.00088,16.30000,12.40001,12.60001,12.30000,12.00000,12.10001,11.30000,12.30000,12.29652,12.32948,50.19074,64.48866,175.41900,1.95557,-0.14388
4005,299.48670,2.00122,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.40001,12.30000,12.25990,12.32948,50.19379,64.49477,175.72940,1.90598,0.08232
5007,299.12040,2.00065,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.40001,12.30000,12.25623,12.32948,50.19379,64.49171,176.20560,1.93873,-1.60980
6005,299.34540,1.99662,16.30000,12.40001,12.60001,12.30000,12.00000,12.10001,11.30000,12.40001,12.23426,12.30384,50.19074,64.48561,176.59280,1.94540,-1.31029
7003,299.73190,1.99865,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.40001,12.25990,12.27454,50.19379,64.44899,176.16780,1.91901,-0.36096
8009,299.91940,1.99820,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.20000,12.23426,12.25990,50.17243,64.43373,175.91970,1.92792,0.49144
9007,299.72260,1.99812,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.40001,12.30000,12.25257,12.28919,50.19379,64.44594,176.17780,1.98895,0.65971
10009,299.84140,1.99667,16.30000,12.40001,12.60001,12.30000,12.00000,12.10001,11.30000,12.30000,12.25257,12.27821,50.18464,64.43373,176.52490,1.93872,0.15259
11009,299.82290,1.99549,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.40001,12.30000,12.25257,12.28553,50.19379,64.44899,176.45930,2.01248,-0.07736
12004,299.79320,2.00029,16.30000,12.40001,12.60001,12.20000,12.00000,12.00000,11.30000,12.30000,12.25623,12.27821,50.19379,64.41542,176.59510,1.96193,0.60551
13012,299.91940,2.00069,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.30000,12.25990,12.28187,50.22431,64.41542,176.82760,1.96352,0.31155
14005,299.77460,2.00071,16.30000,12.40001,12.60001,12.30000,12.00000,12.10001,11.30000,12.30000,12.24525,12.28553,50.22736,64.40932,176.85870,1.94635,-0.90312
15009,299.41230,2.00064,16.30000,12.40001,12.60001,12.30000,12.00000,12.10001,11.30000,12.40001,12.25990,12.28553,50.22431,64.40932,176.38030,1.94985,-1.12825
16007,299.49970,2.00036,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.30000,12.25990,12.28553,50.23042,64.33607,175.94310,1.92124,-0.60738
17007,299.54610,1.99755,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.30000,12.25257,12.28553,50.22736,64.34218,176.19120,1.96352,-0.42696
18005,299.24870,1.99457,16.30000,12.40001,12.60001,12.30000,12.00000,12.10001,11.40001,12.30000,12.25990,12.27821,50.22126,64.33607,176.60620,1.97973,-0.49866
19001,299.37330,1.99520,16.30000,12.40001,12.60001,12.30000,12.00000,12.10001,11.30000,12.30000,12.24525,12.28553,50.22431,64.33607,176.06880,1.91170,-1.09375
20005,299.49220,1.99486,16.30000,12.40001,12.60001,12.30000,12.00000,12.00000,11.30000,12.30000,12.24158,12.28187,50.23042,64.33607,175.49020,2.00707,-0.33791
21002,299.52940,1.99935,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.30000,12.24525,12.29285,50.22736,64.44289,175.60040,1.92633,0.45067
22007,299.50530,2.00155,16.30000,12.40001,12.60001,12.20000,12.00000,12.00000,11.30000,12.20000,12.25990,12.27821,50.22736,64.44594,175.80400,1.95939,0.33034
23004,299.69470,2.00145,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.40001,12.30000,12.25623,12.28187,50.26094,64.44594,176.59950,1.99499,1.04004
24004,299.94350,2.00446,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.20000,12.25257,12.28919,50.26399,64.44899,177.14470,1.93300,0.63933
25006,299.96390,2.00438,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.30000,12.24525,12.28919,50.26094,64.45815,177.47850,1.96988,-0.20450
26003,299.65760,2.00444,16.30000,12.40001,12.60001,12.30000,12.00000,12.10001,11.30000,12.30000,12.25990,12.28187,50.27314,64.33913,177.34830,2.02932,0.21606
27002,299.62790,2.00347,16.30000,12.40001,12.60001,12.20000,12.00000,12.00000,11.30000,12.40001,12.24525,12.28919,50.26399,64.33607,177.18250,1.99912,0.27615
28003,299.70400,2.00198,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.30000,12.25623,12.28187,50.26704,64.34523,176.47380,1.95112,-0.60576
29002,299.74490,2.00215,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.30000,12.25623,12.28553,50.26399,64.34218,175.95750,1.96733,-0.98251
30002,299.72450,2.00027,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.30000,12.25623,12.28919,50.26399,64.34828,176.47490,1.98037,-0.41426
31002,299.19290,1.99942,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.30000,12.25257,12.24891,50.26399,64.41542,176.54720,1.92537,-0.74094
32001,299.23380,1.99865,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.30000,12.25990,12.24891,50.30976,64.41237,176.19560,1.98959,-0.91939
33007,299.86930,1.99699,16.30000,12.40001,12.60001,12.20000,12.00000,12.10001,11.30000,12.30000,12.25990,12.24891,50.30061,64.42152,177.02560,1.96384,-0.48631
34006,300.84390,1.99829,16.30000,12.40001,12.50000,12.20000,12.00000,12.10001,11.30000,12.30000,12.24525,12.24158,50.30061,64.40932,178.04370,1.96574,-0.77242
