Date,Time,MQ2.SV Vorne,MQ3.SV Vorne,MQ9B.SV Vorne,MQ135.SV Vorne,MP503.SV Vorne,HCOH.SV Vorne
20240306,14:38:52.597,107.0,32.0,30.0,212.0,38.0,26.0
20240306,14:38:56.276,52.0,32.0,28.0,99.0,38.0,25.0
20240306,14:38:59.964,54.0,32.0,28.0,304.0,38.0,25.0
20240306,14:39:03.641,53.0,32.0,28.0,307.0,38.0,25.0
20240306,14:39:07.306,53.0,32.0,29.0,332.0,38.0,25.0
20240306,14:39:10.993,65.0,32.0,28.0,316.0,38.0,26.0
20240306,14:39:14.680,77.0,33.0,27.0,315.0,38.0,25.0
20240306,14:39:18.355,85.0,32.0,28.0,288.0,37.0,25.0
20240306,14:39:22.025,85.0,32.0,28.0,278.0,38.0,25.0
20240306,14:39:25.708,86.0,32.0,27.0,286.0,37.0,25.0
20240306,14:39:29.391,84.0,32.0,28.0,265.0,38.0,25.0
20240306,14:39:33.077,82.0,32.0,28.0,240.0,38.0,25.0
20240306,14:39:36.734,86.0,32.0,44.0,319.0,38.0,25.0
20240306,14:39:40.410,84.0,32.0,37.0,326.0,39.0,26.0
20240306,14:39:44.104,83.0,31.0,31.0,331.0,38.0,24.0
20240306,14:39:47.793,85.0,32.0,31.0,256.0,39.0,27.0
20240306,14:39:51.469,86.0,32.0,31.0,272.0,38.0,24.0
20240306,14:39:55.149,84.0,32.0,31.0,329.0,38.0,26.0
20240306,14:39:58.832,82.0,32.0,30.0,346.0,38.0,25.0
20240306,14:40:02.499,81.0,32.0,31.0,314.0,39.0,25.0
20240306,14:40:06.173,84.0,32.0,31.0,342.0,38.0,22.0
20240306,14:40:09.856,85.0,32.0,31.0,292.0,39.0,25.0
20240306,14:40:13.537,85.0,33.0,30.0,260.0,38.0,24.0
20240306,14:40:17.209,85.0,32.0,31.0,131.0,39.0,26.0
20240306,14:40:21.099,85.0,32.0,31.0,91.0,39.0,24.0
20240306,14:40:24.561,85.0,32.0,30.0,167.0,39.0,25.0
20240306,14:40:28.264,85.0,32.0,31.0,151.0,39.0,25.0
20240306,14:40:32.114,86.0,32.0,31.0,259.0,37.0,26.0
20240306,14:40:35.608,85.0,31.0,31.0,256.0,38.0,25.0
20240306,14:40:39.285,85.0,32.0,31.0,338.0,38.0,24.0
20240306,14:40:43.120,85.0,32.0,31.0,176.0,38.0,13.0
20240306,14:40:46.639,86.0,31.0,30.0,101.0,39.0,26.0
20240306,14:40:50.313,85.0,32.0,31.0,74.0,38.0,26.0
