Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
996,299.81170,0.00254,17.40001,12.20000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.11707,12.38074,51.09714,50.39827,177.63420,1.60211,0.03117
2002,299.56850,0.00273,17.50000,12.20000,12.40001,12.20000,12.10001,12.20000,11.40001,12.40001,12.11707,12.37342,51.10630,50.39521,177.90460,1.61769,-0.05144
3000,299.38450,0.00258,17.40001,12.20000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.10975,12.41737,51.12461,50.32197,177.79890,1.64757,0.33766
