Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
999,301.41860,2.99756,16.20000,12.10001,12.30000,11.90001,11.40001,11.60001,10.80000,11.90001,12.03650,11.75817,50.73092,70.63509,177.95360,2.31034,-4.67574
1997,301.47220,2.99712,16.10001,12.10001,12.30000,12.00000,11.40001,11.60001,10.80000,11.90001,12.04016,11.76183,50.73397,70.62899,177.67870,2.28967,-4.99529
2995,301.30970,2.99895,16.20000,12.10001,12.30000,11.90001,11.40001,11.60001,10.80000,11.90001,12.04383,11.75451,50.73092,70.63815,176.50380,2.29444,-5.60504
4003,301.06950,3.00046,16.20000,12.10001,12.30000,11.90001,11.40001,11.50000,10.80000,11.80000,12.04016,11.75817,50.72482,70.62899,176.85540,2.25566,-5.69069
4998,301.04730,3.00211,16.20000,12.10001,12.30000,12.00000,11.40001,11.60001,10.80000,11.90001,12.04749,11.76183,50.73092,70.67171,177.27260,2.28840,-5.30696
5995,300.86980,3.00371,16.20000,12.10001,12.30000,11.90001,11.40001,11.60001,10.80000,11.80000,12.04749,11.76183,50.73092,70.66561,177.11470,2.29412,-4.82416
7000,300.43110,3.00587,16.20000,12.10001,12.30000,11.90001,11.40001,11.60001,10.80000,11.90001,12.04016,11.74352,50.73702,70.67171,176.29350,2.31066,-4.30577
7994,300.02690,3.00583,16.20000,12.10001,12.30000,12.00000,11.40001,11.50000,10.80000,11.90001,12.04383,11.76183,50.73092,70.66561,176.11440,2.26615,-1.92738
8996,299.69470,3.00353,16.20000,12.10001,12.30000,11.90001,11.40001,11.50000,10.80000,11.90001,12.04383,11.75817,50.73702,70.74496,176.62290,2.32528,-0.88577
9995,299.80800,2.99968,16.20000,12.10001,12.30000,11.90001,11.40001,11.50000,10.80000,11.90001,12.04016,11.75817,50.73397,70.74801,177.04230,2.29063,-1.20889
10995,299.86180,2.99803,16.20000,12.10001,12.30000,11.90001,11.40001,11.50000,10.80000,11.90001,12.04383,11.75817,50.73092,70.74801,177.03560,2.32941,-1.24341
11992,299.58510,3.00274,16.20000,12.10001,12.30000,11.90001,11.40001,11.60001,10.80000,11.90001,11.99987,11.75451,50.69735,70.74191,176.40150,2.31638,-1.99139
12996,299.67250,3.00652,16.20000,12.10001,12.30000,12.00000,11.40001,11.60001,10.80000,11.80000,12.01086,11.75451,50.70040,70.74801,175.78510,2.28586,-1.69151
13997,299.61860,3.00864,16.20000,12.10001,12.30000,11.90001,11.40001,11.60001,10.80000,11.80000,11.99621,11.75817,50.69429,70.77853,175.57700,2.25439,-2.14839
14995,299.49040,3.00706,16.10001,12.10001,12.30000,11.90001,11.40001,11.50000,10.80000,11.90001,11.99987,11.75085,50.69429,70.78463,176.29130,2.31415,-2.62564
15997,299.46620,3.00604,16.20000,12.10001,12.30000,11.90001,11.40001,11.60001,10.80000,11.90001,11.99255,11.75451,50.68819,70.77547,175.87410,2.32401,-2.90083
16997,299.34170,3.00663,16.10001,12.10001,12.30000,12.00000,11.40001,11.50000,10.80000,11.80000,12.04749,11.76183,50.72787,70.77853,175.42230,2.29921,-2.99847
17991,299.48110,3.00738,16.10001,12.10001,12.30000,11.90001,11.40001,11.60001,10.80000,11.90001,12.04383,11.75451,50.73397,70.77547,176.02430,2.25534,-2.23332
18993,299.50710,3.00552,16.10001,12.10001,12.30000,12.00000,11.40001,11.60001,10.80000,11.90001,12.04016,11.75451,50.73397,70.71139,176.70410,2.28173,-0.99825
19993,299.81910,3.00460,16.10001,12.10001,12.30000,11.90001,11.40001,11.50000,10.80000,11.90001,12.04383,11.75817,50.73397,70.70528,177.16360,2.27251,0.08089
20992,299.74670,3.00413,16.10001,12.10001,12.30000,12.00000,11.40001,11.50000,10.80000,11.80000,12.04016,11.76183,50.73702,70.70528,176.71300,2.28745,-2.02679
21993,299.80430,2.99982,16.10001,12.10001,12.30000,12.00000,11.40001,11.50000,10.70000,11.80000,12.04749,11.76916,50.73397,70.69918,175.71720,2.31002,-2.89638
22993,300.02880,2.99985,16.10001,12.10001,12.30000,11.90001,11.40001,11.50000,10.80000,11.80000,12.04383,11.76550,50.72787,70.70528,175.58480,2.23977,-1.60568
