Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
996,298.62320,0.00257,16.90001,12.10001,12.40001,12.00000,11.90001,11.90001,9.90001,12.20000,12.09876,12.13904,53.13272,54.08185,176.45600,1.65588,10.82779
1997,298.93240,0.00276,16.90001,12.10001,12.40001,12.00000,11.90001,12.00000,9.90001,12.20000,12.10242,12.14270,53.12967,54.09101,176.16560,1.70929,11.28752
2995,299.11110,0.00271,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.05115,12.13904,53.12662,54.08796,176.44260,1.68481,11.96057
3999,299.00130,0.00257,16.90001,12.10001,12.30000,12.10001,11.90001,12.00000,9.90001,12.20000,12.05481,12.13538,53.12967,54.08796,175.95640,1.66256,10.80829
4995,298.97150,0.00269,16.90001,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.05848,12.13538,53.12967,54.08490,175.95310,1.62314,10.68616
5992,299.11290,0.00257,17.00000,12.10001,12.40001,12.00000,11.90001,12.00000,9.90001,12.20000,12.05481,12.14270,53.12967,54.08796,177.16250,1.61583,12.22217
6994,299.02550,0.00244,17.00000,12.10001,12.30000,12.10001,11.90001,12.00000,9.90001,12.10001,12.05481,12.13538,53.09305,54.09406,177.32270,1.66542,11.94447
7997,298.43670,0.00268,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.10001,12.05848,12.14270,53.09000,54.01471,176.71630,1.70993,10.86284
8999,299.42350,0.00278,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.05115,12.13904,53.09916,54.01777,177.01450,1.61583,9.05037
9997,300.64590,0.00257,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.05848,12.14270,53.09305,54.01777,177.34610,1.64221,6.74582
10999,300.45510,0.00267,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.10001,12.05481,12.13538,53.09305,54.01166,177.24820,1.67973,6.81270
12006,300.72180,0.00276,16.90001,12.10001,12.30000,12.10001,11.90001,12.00000,9.90001,12.20000,12.05848,12.14270,53.06253,54.01777,177.74550,1.65620,7.96426
12995,300.90860,0.00257,16.90001,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.05481,12.13538,53.05948,53.95062,177.74220,1.59771,7.77454
13993,300.72920,0.00266,17.00000,12.10001,12.40001,12.00000,11.90001,12.00000,9.90001,12.10001,12.05848,12.14270,53.07169,53.94452,177.51070,1.63300,7.86269
14990,300.65880,0.00262,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.05848,12.13904,53.06253,53.95062,177.37500,1.71756,7.69228
15991,300.92720,0.00280,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.10001,12.06580,12.14270,53.07169,53.95062,178.37970,1.62950,7.69228
16994,301.27460,0.00255,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.10242,12.14270,53.09305,53.95672,179.39220,1.68418,8.76588
17993,301.21180,0.00256,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.10242,12.14270,53.09916,53.95672,177.91800,1.70770,9.03661
18993,301.00480,0.00254,17.00000,12.10001,12.30000,12.00000,11.90001,11.90001,9.90001,12.20000,12.10242,12.13904,53.09916,53.93841,177.21140,1.66924,9.13745
19995,301.10830,0.00261,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.10001,12.10608,12.14270,53.09000,53.95062,177.61760,1.68259,8.96831
20991,301.25430,0.00263,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.10001,12.05848,12.13538,53.02896,53.94452,177.54410,1.63618,7.55174
21991,301.03990,0.00261,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.10001,12.05848,12.13538,53.03201,53.95062,177.35940,1.66796,7.87663
22993,300.20310,0.00266,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.05848,12.14637,53.03506,53.95062,177.52410,1.70198,10.96368
23998,299.48670,0.00245,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.05848,12.14270,53.02896,53.95062,177.82900,1.65207,12.38615
25001,298.98450,0.00271,17.00000,12.20000,12.30000,12.00000,11.90001,12.00000,9.90001,12.10001,12.05848,12.13538,53.03506,53.95367,177.39170,1.70357,11.55431
25994,298.91560,0.00247,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.05848,12.13904,53.02896,53.94452,177.58970,1.66542,11.23351
26992,299.10550,0.00241,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.05481,12.13904,53.02591,53.91095,177.53520,1.65271,11.55305
27993,299.06270,0.00256,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.10001,12.06580,12.13904,53.04116,53.91095,177.39060,1.72105,11.75816
28994,299.12780,0.00248,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.05481,12.13904,53.02896,53.91400,177.41730,1.66129,11.74564
29996,298.84110,0.00255,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.01818,12.14270,52.98928,53.90789,177.13360,1.71056,11.47581
30995,299.31940,0.00259,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.02551,12.13904,52.99539,53.90789,177.11690,1.66510,11.74886
31992,299.63530,0.00251,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.01818,12.13538,52.99234,53.87738,176.23120,1.69626,12.08395
32995,298.94730,0.00259,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.01818,12.14637,52.99234,53.88043,176.07550,1.70261,12.33751
33994,298.85230,0.00254,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.02551,12.13538,52.99234,53.87432,176.28910,1.61170,11.54340
34991,299.20220,0.00259,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.02551,12.14270,52.95266,53.87432,176.64400,1.72550,10.39488
35992,299.83580,0.00260,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.02551,12.13904,52.95877,53.83770,177.87230,1.68513,9.22203
36992,300.79390,0.00257,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,10.00000,12.20000,12.02551,12.13538,52.96182,53.83465,177.72100,1.68608,8.21817
37993,301.09720,0.00265,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,10.00000,12.20000,12.02551,12.13172,52.95877,53.83465,178.15050,1.70325,8.34549
38994,301.06950,0.00269,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.20000,12.05848,12.14270,52.94961,53.83160,179.10070,1.68481,8.22139
39993,301.11020,0.00257,17.00000,12.10001,12.30000,12.00000,11.90001,12.00000,9.90001,12.10001,12.05848,12.14270,52.96182,53.83465,178.84250,1.72296,8.52574
