Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
997,300.02510,0.00251,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.15369,12.42104,51.53050,50.97812,177.83900,1.63613,1.12587
1998,300.01770,0.00262,17.00000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.41737,51.52745,50.97812,178.80470,1.59290,1.37193
2993,299.64650,0.00255,17.00000,12.30000,12.50000,12.20000,12.10001,12.20000,11.30000,12.40001,12.16468,12.42470,51.52440,50.98727,178.95050,1.64757,1.14359
4001,299.95830,0.00255,17.00000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42470,51.52440,50.98422,179.41110,1.65203,1.59366
4997,300.12340,0.00251,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16834,12.42470,51.52135,50.93845,179.78160,1.61261,1.96326
5992,299.70590,0.00267,17.00000,12.30000,12.50000,12.10001,12.10001,12.10001,11.30000,12.40001,12.15003,12.42104,51.52745,50.94150,178.86930,1.63677,1.60796
6995,299.48850,0.00248,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42104,51.52440,50.95065,178.35970,1.63899,1.10173
7994,299.79500,0.00255,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.15003,12.42470,51.52745,50.94455,178.52880,1.56842,0.92203
9000,299.76350,0.00239,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42104,51.51524,50.94150,178.80250,1.59163,0.91667
9996,299.64830,0.00266,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42470,51.52440,50.95065,178.38640,1.63391,0.96780
10997,299.90640,0.00258,17.00000,12.30000,12.50000,12.10001,12.10001,12.10001,11.30000,12.40001,12.16101,12.42104,51.52440,50.94760,178.18390,1.63963,2.00671
11995,300.04920,0.00263,17.00000,12.30000,12.50000,12.20000,12.10001,12.20000,11.30000,12.40001,12.16468,12.41737,51.52135,50.95065,178.56110,1.60180,2.46394
12994,300.13450,0.00266,17.00000,12.30000,12.50000,12.10001,12.10001,12.10001,11.30000,12.40001,12.16468,12.41737,51.52440,50.94455,178.62780,1.59004,1.56058
13996,300.15310,0.00249,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16468,12.42104,51.52440,50.94150,179.21860,1.61960,1.61743
14997,299.77830,0.00253,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.15369,12.41737,51.52135,50.94455,179.12630,1.61229,1.14626
15994,299.83770,0.00266,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42104,51.52135,50.95370,179.28310,1.68604,1.45918
16997,299.97870,0.00250,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42104,51.51524,50.94150,178.83250,1.60911,1.78731
17995,300.02510,0.00250,17.00000,12.30000,12.50000,12.20000,12.10001,12.20000,11.30000,12.40001,12.16101,12.42104,51.51524,50.93845,178.30400,1.62723,1.29718
18994,300.09000,0.00263,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.41737,51.52745,50.90182,179.31540,1.58559,1.38605
19995,299.82840,0.00257,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.50000,12.16468,12.42104,51.52440,50.90182,179.38440,1.63136,1.29111
20996,300.13080,0.00251,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42104,51.52135,50.90488,178.47320,1.60816,1.01161
21997,300.54780,0.00257,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16468,12.42470,51.52135,50.90488,179.02610,1.62914,1.29826
22996,300.32170,0.00246,17.00000,12.30000,12.50000,12.20000,12.10001,12.20000,11.30000,12.40001,12.16468,12.42104,51.52135,50.90488,178.88480,1.65552,1.42110
24000,300.29580,0.00261,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16468,12.42104,51.52135,50.93539,178.35520,1.63136,0.99713
24994,300.44400,0.00277,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.15003,12.42836,51.52440,50.93845,178.96940,1.69208,1.55486
25994,300.19200,0.00257,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42104,51.52135,50.94150,179.21860,1.60530,1.71007
26995,299.96020,0.00273,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16468,12.42104,51.53050,50.94150,178.99610,1.61070,1.28539
27994,300.04920,0.00241,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42470,51.51219,50.94455,178.80810,1.59322,1.66321
28994,300.36990,0.00270,17.00000,12.30000,12.50000,12.20000,12.10001,12.20000,11.30000,12.40001,12.16468,12.42104,51.52440,50.94455,179.04280,1.61070,2.34163
29997,300.39220,0.00242,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.50000,12.16101,12.42104,51.52440,50.94760,179.41000,1.64821,2.54155
30992,300.16050,0.00265,17.00000,12.30000,12.50000,12.20000,12.10001,12.20000,11.30000,12.40001,12.16101,12.42470,51.53050,50.95065,179.05840,1.67142,2.26062
31994,299.62230,0.00246,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.50000,12.16101,12.42470,51.52440,50.94455,178.07820,1.63263,1.57184
32995,299.77270,0.00243,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.50000,12.15369,12.42470,51.52135,50.97812,178.08600,1.64058,1.59186
33995,300.13270,0.00258,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42104,51.52745,50.98422,178.48760,1.65966,1.79016
34999,299.93050,0.00255,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.15369,12.42104,51.52135,50.98422,178.46090,1.64281,1.36424
35996,299.89520,0.00259,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.41737,51.53050,50.97812,178.35860,1.63232,1.44470
36993,300.09190,0.00247,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42470,51.52440,50.98422,178.31410,1.60021,1.81091
37995,300.02880,0.00268,17.00000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42104,51.52440,50.98422,178.27290,1.61134,1.14214
38993,299.91190,0.00249,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.15369,12.42104,51.56102,50.98422,177.76550,1.64217,0.60535
39997,300.00660,0.00241,17.00000,12.30000,12.50000,12.10001,12.10001,12.10001,11.30000,12.40001,12.16468,12.42104,51.56102,50.97507,177.99920,1.61388,1.49977
40998,300.06040,0.00244,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16468,12.41737,51.55492,50.98422,178.37190,1.58050,1.36244
41997,299.94910,0.00243,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.41737,51.54271,50.98422,178.92600,1.59131,0.55331
42999,300.03250,0.00266,17.00000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.40001,12.15369,12.42104,51.56102,50.99033,179.49570,1.64599,1.44899
43994,300.17720,0.00247,17.00000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.40001,12.15369,12.41737,51.55797,50.96896,179.39660,1.63677,1.72777
44998,300.15860,0.00259,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.50000,12.16468,12.41737,51.55492,50.98422,179.29650,1.59957,1.15448
45994,300.08820,0.00259,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.15369,12.41737,51.55797,50.97507,178.73910,1.61102,1.27841
46995,300.02510,0.00257,17.00000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.40001,12.16468,12.42104,51.56102,50.97812,178.60110,1.61960,1.32097
47995,299.82290,0.00261,17.00000,12.30000,12.50000,12.10001,12.10001,12.10001,11.30000,12.40001,12.16468,12.42104,51.59459,51.01169,178.69900,1.65362,1.30183
