Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
989,299.46250,3.74897,15.50000,11.90001,12.10001,11.80000,10.80000,10.80000,10.50000,11.20000,11.86438,11.17954,50.95065,76.14674,176.18450,2.68004,-3.11684
1990,299.28780,3.74586,15.60001,11.90001,12.10001,11.80000,10.80000,10.80000,10.50000,11.10001,11.86438,11.18320,50.95065,76.15284,175.87410,2.67304,-3.12596
2989,299.10730,3.74187,15.60001,11.90001,12.20000,11.80000,10.80000,10.80000,10.50000,11.20000,11.82775,11.18687,50.95065,76.14674,176.51050,2.68576,-3.29781
3994,299.32870,3.73954,15.50000,12.00000,12.10001,11.80000,10.80000,10.70000,10.50000,11.20000,11.82043,11.18687,50.95676,76.26575,176.15670,2.64730,-3.66884
4997,299.85260,3.74179,15.60001,11.90001,12.10001,11.80000,10.80000,10.80000,10.50000,11.20000,11.82775,11.18320,50.95676,76.26575,175.38900,2.65365,-4.25839
5991,300.56070,3.74282,15.60001,12.00000,12.10001,11.80000,10.80000,10.80000,10.50000,11.20000,11.83141,11.18320,50.95370,76.26270,175.68490,2.63140,-5.33522
6991,301.04730,3.74693,15.50000,11.90001,12.20000,11.80000,10.80000,10.80000,10.50000,11.20000,11.87170,11.17954,50.94760,76.25660,176.26910,2.69084,-6.22017
7986,300.96410,3.74592,15.50000,11.90001,12.10001,11.80000,10.80000,10.80000,10.50000,11.20000,11.86071,11.18320,50.95370,76.25355,176.62510,2.62854,-6.32745
8988,301.36330,3.74633,15.50000,12.00000,12.10001,11.80000,10.80000,10.80000,10.50000,11.20000,11.86438,11.18320,50.94760,76.30238,176.69180,2.65810,-5.41084
9988,301.66420,3.74848,15.50000,12.00000,12.10001,11.80000,10.80000,10.80000,10.50000,11.20000,11.87170,11.18320,50.94760,76.29932,176.55720,2.69720,-5.83608
10990,300.83470,3.74844,15.50000,12.00000,12.10001,11.80000,10.80000,10.70000,10.50000,11.20000,11.86804,11.18320,50.95065,76.29932,176.53390,2.65333,-7.62993
11989,300.66440,3.74738,15.50000,11.90001,12.20000,11.80000,10.80000,10.80000,10.50000,11.10001,11.82043,11.17588,50.95065,76.29627,176.90100,2.67273,-7.32541
12988,301.35590,3.75000,15.50000,11.90001,12.10001,11.90001,10.80000,10.80000,10.50000,11.10001,11.81310,11.19053,50.95676,76.29322,177.19480,2.67368,-5.62703
13988,301.27830,3.75286,15.50000,11.90001,12.10001,11.80000,10.80000,10.70000,10.50000,11.20000,11.82043,11.17954,50.95065,76.36341,176.72190,2.67877,-5.89024
14992,301.20440,3.75660,15.50000,12.00000,12.20000,11.80000,10.80000,10.80000,10.50000,11.20000,11.82409,11.17588,50.94760,76.36341,177.08680,2.66605,-5.46932
15986,301.35220,3.75824,15.50000,12.00000,12.10001,11.90001,10.80000,10.70000,10.50000,11.20000,11.82409,11.17954,50.95370,76.36646,177.06120,2.68385,-5.32930
16991,301.41500,3.75454,15.50000,11.90001,12.10001,11.80000,10.80000,10.70000,10.50000,11.20000,11.82409,11.17954,50.95065,76.37257,176.76530,2.64793,-5.84787
17989,300.59590,3.75118,15.50000,11.90001,12.10001,11.80000,10.80000,10.70000,10.50000,11.20000,11.82409,11.17954,50.95065,76.34205,175.70940,2.65588,-3.83246
18989,299.58890,3.75018,15.50000,11.90001,12.20000,11.90001,10.80000,10.70000,10.50000,11.20000,11.82775,11.18320,50.95370,76.32984,175.00850,2.69911,-2.48421
19994,299.60930,3.74955,15.50000,12.00000,12.10001,11.80000,10.80000,10.80000,10.50000,11.20000,11.82043,11.17954,50.95065,76.33289,175.68380,2.67813,-2.72632
20992,298.89700,3.85117,15.50000,11.90001,12.20000,11.90001,10.80000,10.80000,10.50000,11.20000,11.82043,11.17954,50.94455,76.33900,175.11750,2.70992,-4.33492
21988,298.65670,4.31855,15.50000,11.90001,12.20000,11.90001,10.80000,10.70000,10.50000,11.10001,11.82043,11.17954,50.95065,76.34205,176.17450,2.79702,-5.03909
22990,299.08320,4.86461,15.50000,11.90001,12.10001,11.80000,10.80000,10.70000,10.50000,11.20000,11.82043,11.17588,50.94760,76.29627,177.21590,2.85551,-4.64713
23993,298.99010,5.30004,15.50000,11.90001,12.20000,11.80000,10.80000,10.80000,10.50000,11.20000,11.82043,11.17954,50.94760,76.29322,176.61400,2.87618,-4.85474
24987,298.69590,5.58343,15.50000,12.00000,12.10001,11.80000,10.80000,10.80000,10.50000,11.10001,11.82409,11.17954,50.94760,76.30238,176.65960,3.03035,-5.52815
25991,298.56910,5.76390,15.50000,12.00000,12.20000,11.80000,10.80000,10.80000,10.50000,11.20000,11.82043,11.18687,50.94760,76.29932,176.54720,3.01605,-5.63741
26992,298.42180,5.87301,15.50000,11.90001,12.10001,11.90001,10.80000,10.70000,10.50000,11.10001,11.81310,11.17954,50.94760,76.30543,176.42930,3.08885,-4.95935
27988,298.33600,5.93917,15.40001,12.00000,12.10001,11.90001,10.80000,10.70000,10.50000,11.10001,11.81310,11.17954,50.94760,76.29932,176.55280,3.18548,-5.51903
28988,298.77780,5.97433,15.40001,12.00000,12.10001,11.80000,10.80000,10.70000,10.50000,11.20000,11.81310,11.17588,50.94150,76.29017,176.37360,3.18358,-4.97078
29986,298.95470,5.99056,15.40001,11.90001,12.20000,11.90001,10.80000,10.80000,10.50000,11.20000,11.82409,11.17588,50.94760,76.29932,176.15890,3.23635,-4.30560
30989,298.91560,5.99438,15.30000,11.90001,12.10001,11.80000,10.80000,10.80000,10.50000,11.10001,11.82409,11.17588,50.94455,76.30238,176.44040,3.32504,-4.22890
31991,299.19290,5.97883,15.30000,11.90001,12.20000,11.90001,10.80000,10.80000,10.50000,11.20000,11.81310,11.17588,50.95065,76.73269,176.23230,3.34093,-4.32437
32991,300.44030,5.83015,15.30000,11.90001,12.20000,11.80000,10.80000,10.80000,10.50000,11.10001,11.81310,11.17954,50.94455,76.72964,176.08330,3.36986,-4.86224
33989,301.40390,5.36642,15.30000,12.00000,12.10001,11.80000,10.80000,10.70000,10.50000,11.10001,11.82409,11.18320,50.95065,77.01956,176.89100,3.38353,-4.39644
34990,301.15260,4.88672,15.30000,12.00000,12.20000,11.90001,10.80000,10.80000,10.50000,11.20000,11.82043,11.17588,50.94760,77.02261,176.75750,3.37971,-4.79948
35987,300.65330,4.59167,15.20000,11.90001,12.10001,11.90001,10.80000,10.80000,10.50000,11.10001,11.82043,11.17588,50.95065,77.34611,176.11550,3.38925,-6.42221
36987,300.64220,4.72393,15.20000,12.00000,12.20000,11.90001,10.80000,10.80000,10.50000,11.10001,11.82043,11.18320,50.94760,77.35221,176.58510,3.25129,-7.01802
37988,300.23460,5.01960,15.20000,12.00000,12.20000,11.90001,10.80000,10.80000,10.50000,11.10001,11.82043,11.17954,50.94760,77.75201,176.90100,3.32694,-7.71451
