Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
1011,299.57400,0.00258,17.20000,12.30000,12.50000,12.20000,12.10001,12.20000,11.30000,12.40001,12.16468,12.42470,51.16428,50.47456,178.30180,1.63168,1.45383
2013,299.71510,0.00259,17.20000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.50000,12.16468,12.42470,51.16428,50.47151,179.07060,1.65647,1.37639
3011,300.09930,0.00262,17.20000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.40001,12.15003,12.42470,51.12156,50.47456,179.94400,1.62627,2.45841
4009,300.02880,0.00241,17.20000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.50000,12.16101,12.42104,51.12156,50.47456,179.50340,1.67364,2.61253
5004,299.66320,0.00260,17.20000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.50000,12.15369,12.42104,51.12156,50.47761,178.72460,1.59035,1.58847
6008,299.62970,0.00251,17.20000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.50000,12.16468,12.42470,51.12461,50.47456,178.52660,1.63072,2.24901
7009,299.29710,0.00250,17.20000,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.15369,12.41737,51.12461,50.47151,178.01700,1.62119,2.05409
8012,298.81880,0.00263,17.20000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.50000,12.15369,12.42470,51.13376,50.46846,178.22280,1.61769,1.45079
9008,298.95290,0.00252,17.20000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.40001,12.16101,12.42836,51.12766,50.47761,178.39420,1.62500,1.42181
10006,299.47550,0.00245,17.20000,12.30000,12.50000,12.20000,12.10001,12.10001,11.40001,12.50000,12.16468,12.42104,51.12156,50.39521,177.66320,1.61706,1.23065
11008,299.81730,0.00260,17.20000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.50000,12.16834,12.42104,51.12461,50.39521,177.99250,1.58908,1.48494
12005,299.66500,0.00253,17.20000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.40001,12.15003,12.41737,51.09714,50.39216,178.35520,1.67682,1.81950
13006,299.51640,0.00257,17.20000,12.30000,12.50000,12.10001,12.10001,12.10001,11.40001,12.50000,12.16101,12.42836,51.09714,50.39827,178.32410,1.62723,2.33894
14006,299.43470,0.00263,17.20000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42836,51.09714,50.39521,178.92150,1.63486,2.00169
15005,299.45690,0.00266,17.20000,12.30000,12.50000,12.10001,12.10001,12.10001,11.40001,12.50000,12.16101,12.42470,51.10324,50.39827,178.88150,1.68349,1.97076
15989,299.54800,0.00255,17.20000,12.30000,12.50000,12.20000,12.10001,12.20000,11.40001,12.40001,12.16468,12.42104,51.09714,50.40132,178.34190,1.61451,2.00528
16992,299.62600,0.00284,17.20000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.50000,12.16101,12.42470,51.06357,50.39827,178.28740,1.65711,2.22916
17991,299.52200,0.00251,17.20000,12.30000,12.50000,12.20000,12.10001,12.20000,11.40001,12.50000,12.16834,12.42470,51.06968,50.39827,178.35970,1.60911,1.60455
18994,299.88040,0.00257,17.20000,12.30000,12.50000,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42104,51.07578,50.36164,178.30960,1.61101,1.41591
19989,300.42550,0.00246,17.20000,12.30000,12.50000,12.20000,12.10001,12.20000,11.40001,12.40001,12.16834,12.43202,51.06662,50.36164,178.53990,1.65933,2.26384
20990,300.24020,0.00263,17.20000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.50000,12.16101,12.42104,51.06357,50.36164,178.53660,1.61229,1.87332
21987,299.63160,0.00273,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.50000,12.12073,12.42836,51.06968,50.35249,178.21170,1.64948,1.30504
22987,299.58330,0.00256,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.11341,12.41737,51.06662,50.35859,178.42310,1.59289,1.45633
23991,299.47740,0.00244,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.10975,12.42470,51.06357,50.39827,178.93160,1.70606,1.77264
24993,299.47370,0.00260,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.11341,12.42470,51.06357,50.39216,178.48210,1.61388,2.18749
25989,299.62600,0.00244,17.20000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.50000,12.16468,12.42470,51.06968,50.40132,178.61000,1.64566,2.82909
26994,299.54990,0.00246,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16101,12.42470,51.06662,50.40132,178.61780,1.61833,2.90007
27988,299.48300,0.00253,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.16101,12.42470,51.07578,50.39521,177.93690,1.61101,2.02977
28989,299.72820,0.00253,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16468,12.42836,51.06662,50.39521,178.54990,1.61260,1.59848
29993,299.91750,0.00253,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.16468,12.42104,51.06357,50.39827,178.96940,1.59417,1.98042
30990,299.68360,0.00264,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16834,12.41737,51.06968,50.40742,178.49320,1.62532,2.00528
31988,300.63850,0.00263,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.50000,12.16468,12.42470,51.06968,50.40742,178.62670,1.59925,0.76341
32989,301.49250,0.00257,17.20000,12.30000,12.40001,12.10001,12.10001,12.10001,11.30000,12.50000,12.16468,12.41737,51.06968,50.40132,179.33100,1.59798,-0.96535
33987,301.38170,0.00255,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.15369,12.42104,51.06662,50.39216,179.18300,1.58177,-1.46907
34987,301.77670,0.00261,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.50000,12.16101,12.42470,51.06052,50.39521,179.02840,1.60752,-0.75685
35988,301.76560,0.00254,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.16468,12.42470,51.06662,50.39521,178.89600,1.62627,-0.15997
36988,301.77850,0.00252,17.20000,12.30000,12.40001,12.10001,12.10001,12.10001,11.30000,12.50000,12.16834,12.42470,51.06357,50.40132,179.25310,1.59353,-0.02802
37986,301.65310,0.00268,17.20000,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.16468,12.42470,51.06357,50.39521,179.71370,1.59099,-0.41174
38986,300.71440,0.00256,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.50000,12.16468,12.42104,51.06357,50.39827,179.37100,1.67268,0.18997
39988,299.91560,0.00252,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.50000,12.16468,12.42104,51.10630,50.39521,178.68900,1.59480,1.88225
40989,299.29520,0.00253,17.20000,12.30000,12.40001,12.10001,12.10001,12.10001,11.40001,12.40001,12.15003,12.42104,51.10630,50.39521,178.22390,1.55952,1.92339
41990,299.43650,0.00268,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42104,51.10324,50.40132,178.69010,1.59353,2.04605
42990,299.71890,0.00246,17.20000,12.30000,12.40001,12.10001,12.00000,12.20000,11.40001,12.40001,12.16101,12.41737,51.09409,50.46540,178.72900,1.61864,1.98741
43993,299.71510,0.00250,17.20000,12.30000,12.40001,12.20000,12.10001,12.20000,11.30000,12.50000,12.11707,12.42104,51.09714,50.46235,178.24510,1.62564,1.90622
44987,299.96760,0.00249,17.20000,12.30000,12.40001,12.20000,12.10001,12.20000,11.30000,12.40001,12.11341,12.42470,51.09409,50.46540,177.99360,1.54871,1.69719
45989,300.07520,0.00253,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.11707,12.42104,51.09714,50.46540,178.24060,1.61864,0.97299
46991,299.74860,0.00261,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.50000,12.11341,12.42836,51.09714,50.47761,178.88820,1.64280,1.33543
47988,299.61490,0.00260,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.40001,12.12073,12.42470,51.10630,50.47761,179.33880,1.65584,1.67502
48989,299.63530,0.00254,17.20000,12.30000,12.40001,12.10001,12.10001,12.10001,11.40001,12.40001,12.16468,12.42470,51.12461,50.46846,179.28540,1.60625,1.25337
49990,299.70400,0.00260,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.15369,12.42470,51.12461,50.46540,178.80690,1.59925,1.26177
50993,299.79130,0.00261,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16101,12.42470,51.12766,50.46846,177.65320,1.64980,2.16174
51988,299.80430,0.00246,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.15369,12.42470,51.12461,50.46235,176.86100,1.65520,1.77855
52988,299.85810,0.00250,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16101,12.42104,51.16733,50.46846,177.96800,1.62691,1.50835
53991,299.81910,0.00260,17.20000,12.20000,12.40001,12.10001,12.10001,12.20000,11.30000,12.50000,12.16834,12.42470,51.16428,50.46846,178.73570,1.60434,1.88422
54991,299.91010,0.00257,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16468,12.42470,51.15512,50.46846,178.43870,1.56206,1.80913
56003,299.87300,0.00256,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.17200,12.42104,51.16123,50.46846,178.17610,1.62532,1.68199
56992,299.52010,0.00271,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16101,12.42470,51.16733,50.51118,177.34050,1.61610,1.40196
57990,299.41790,0.00260,17.20000,12.30000,12.40001,12.10001,12.10001,12.10001,11.40001,12.50000,12.16468,12.42470,51.20090,50.49592,177.90460,1.65107,1.63817
58990,299.82290,0.00258,17.20000,12.30000,12.40001,12.10001,12.10001,12.10001,11.40001,12.50000,12.15369,12.42470,51.20395,50.50813,178.63780,1.63422,1.81574
59990,299.80060,0.00255,17.20000,12.30000,12.40001,12.10001,12.10001,12.10001,11.40001,12.50000,12.16101,12.42470,51.20395,50.50813,178.63110,1.66251,1.02287
60990,299.36400,0.00268,17.20000,12.30000,12.40001,12.10001,12.10001,12.10001,11.40001,12.40001,12.15369,12.42104,51.20090,50.54475,178.29740,1.59830,1.02538
61990,299.43090,0.00256,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.15369,12.42104,51.20090,50.54475,178.25510,1.62723,1.57846
62991,299.70400,0.00274,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.16468,12.41737,51.23142,50.55086,178.41970,1.57541,1.20830
63990,299.85630,0.00239,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.40001,12.16468,12.41737,51.23447,50.54475,178.78580,1.65393,1.59294
64988,300.08630,0.00255,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16101,12.42836,51.24363,50.54170,178.74580,1.63041,1.80644
65986,300.01960,0.00260,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.40001,12.16101,12.42104,51.24363,50.54475,178.48990,1.60275,1.31560
66990,299.64460,0.00257,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.11707,12.39539,51.21616,50.52034,178.13600,1.64884,0.56548
67988,299.46070,0.00247,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.40001,12.16468,12.42104,51.23752,50.54780,177.28930,1.61038,0.27007
68988,299.70030,0.00241,17.20000,12.20000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16468,12.41005,51.22837,50.53559,177.67540,1.62818,1.09851
69991,299.89150,0.00267,17.20000,12.30000,12.40001,12.10001,12.10001,12.20000,11.30000,12.50000,12.16101,12.42104,51.23752,50.54170,177.87120,1.66537,1.40447
70991,299.92680,0.00256,17.20000,12.30000,12.40001,12.10001,12.10001,12.10001,11.40001,12.50000,12.16834,12.42104,51.22532,50.54170,177.55640,1.61483,1.87547
71988,299.97690,0.00265,17.20000,12.20000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16468,12.41737,51.23447,50.54780,178.16160,1.60974,2.13332
72993,299.97320,0.00266,17.20000,12.30000,12.40001,12.10001,12.10001,12.10001,11.30000,12.50000,12.16468,12.41737,51.23447,50.55696,178.74690,1.58876,1.34242
