Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
993,300.13080,0.00266,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.50000,12.40001,12.16468,12.46498,50.30366,49.51323,178.21730,1.63484,1.21404
2000,300.06590,0.00260,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.16468,12.46498,50.33723,49.51628,178.45650,1.60433,1.46919
2995,300.18090,0.00253,17.60001,12.30000,12.50000,12.20000,12.10001,12.20000,11.50000,12.40001,12.16834,12.46498,50.34333,49.51933,178.17280,1.58239,0.57030
3995,300.00100,0.00263,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.50000,12.50000,12.16834,12.47597,50.33723,49.52849,178.18720,1.61672,1.15270
4997,299.94530,0.00244,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.16468,12.46498,50.34028,49.52238,178.97500,1.61672,1.23924
5995,299.92310,0.00255,17.60001,12.30000,12.40001,12.10001,12.10001,12.10001,11.50000,12.40001,12.16468,12.47597,50.34333,49.51933,178.29620,1.62531,-0.05609
6995,300.04180,0.00247,17.60001,12.30000,12.40001,12.10001,12.10001,12.20000,11.50000,12.50000,12.16468,12.46132,50.30061,49.52849,178.33960,1.59797,-0.08398
7995,300.32550,0.00270,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.15369,12.46498,50.30671,49.51933,178.61560,1.56936,0.32927
8997,300.19200,0.00257,17.60001,12.30000,12.40001,12.10001,12.10001,12.20000,11.50000,12.40001,12.16468,12.46132,50.30366,49.48576,178.43200,1.61037,0.39006
9995,299.98800,0.00259,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.16468,12.47231,50.30671,49.48576,178.44090,1.58207,0.21678
10999,299.82660,0.00272,17.60001,12.30000,12.40001,12.20000,12.00000,12.20000,11.40001,12.50000,12.16101,12.47963,50.33418,49.47966,177.80780,1.61354,-0.23686
11999,299.77640,0.00265,17.60001,12.30000,12.40001,12.20000,12.10001,12.10001,11.40001,12.50000,12.16101,12.46132,50.33723,49.48576,177.68650,1.63612,-0.24098
12996,300.06410,0.00274,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.50000,12.50000,12.16468,12.47231,50.34028,49.47966,178.10150,1.64819,0.72838
14003,300.42000,0.00263,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.16101,12.42470,50.33723,49.47966,177.92350,1.58779,0.58139
14996,300.24210,0.00270,17.60001,12.30000,12.40001,12.20000,12.00000,12.20000,11.40001,12.50000,12.16834,12.42470,50.34028,49.48271,177.65430,1.55823,-0.15335
15994,300.25690,0.00248,17.60001,12.30000,12.40001,12.20000,12.10001,12.10001,11.40001,12.50000,12.16468,12.42836,50.34333,49.48576,177.34270,1.60973,0.25095
16996,300.33660,0.00262,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.17200,12.42104,50.33418,49.48576,177.58200,1.60369,0.86302
17995,300.00100,0.00250,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.16468,12.41005,50.33418,49.47966,178.20610,1.61609,0.95708
18994,300.03810,0.00266,17.60001,12.30000,12.40001,12.20000,12.10001,12.10001,11.40001,12.50000,12.16101,12.42104,50.34333,49.48576,178.78250,1.62817,1.00804
19994,299.85630,0.00264,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.16101,12.41005,50.33418,49.47966,178.06700,1.63325,1.02074
20994,299.61670,0.00260,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.16101,12.42470,50.34333,49.48271,177.38720,1.60782,0.08823
21992,299.68730,0.00270,17.60001,12.30000,12.40001,12.20000,12.10001,12.10001,11.40001,12.50000,12.16468,12.42470,50.33723,49.47966,177.94020,1.63929,0.54027
22994,299.81540,0.00263,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.50000,12.40001,12.16834,12.42104,50.33723,49.51933,177.88350,1.62785,0.84801
23993,299.79130,0.00244,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.15369,12.42104,50.34028,49.51628,177.37170,1.55855,-0.34755
24994,299.90820,0.00256,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.16834,12.42104,50.33418,49.51323,177.73660,1.58303,0.08519
25992,300.07520,0.00266,17.60001,12.20000,12.40001,12.10001,12.10001,12.10001,11.40001,12.40001,12.16834,12.42104,50.34333,49.51933,178.65230,1.63389,0.80847
26992,300.05110,0.00251,17.60001,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.15369,12.41737,50.33723,49.51323,178.34300,1.62340,0.28366
27994,300.17530,0.00257,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.16101,12.46498,50.33418,49.51933,178.73910,1.61132,0.30870
28995,300.08820,0.00274,17.60001,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16468,12.46498,50.34028,49.52238,178.99270,1.62054,0.27187
29993,299.81540,0.00272,17.60001,12.30000,12.40001,12.20000,12.10001,12.10001,11.40001,12.50000,12.16468,12.46498,50.34028,49.51933,177.57080,1.60560,-0.51277
30994,299.86930,0.00259,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.40001,12.16101,12.46498,50.34028,49.51933,177.05010,1.63453,-0.18895
31994,300.13450,0.00262,17.60001,12.20000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16468,12.41737,50.33723,49.55901,178.05370,1.62912,0.08214
32994,300.19020,0.00278,17.70000,12.20000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.16468,12.42470,50.34639,49.55595,178.35080,1.60369,0.28688
33998,300.19760,0.00260,17.60001,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16468,12.41737,50.33723,49.55595,177.54080,1.61068,0.24129
34997,300.04360,0.00267,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.16468,12.42104,50.33723,49.56206,177.70430,1.60560,-0.06985
35998,300.18650,0.00249,17.60001,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.15369,12.42104,50.34028,49.55901,178.23730,1.60941,0.51273
36994,300.14940,0.00256,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.16468,12.42470,50.33418,49.56206,177.66090,1.60623,0.16350
37998,299.85810,0.00247,17.60001,12.30000,12.40001,12.10001,12.10001,12.10001,11.40001,12.50000,12.16101,12.42104,50.33418,49.55290,177.68650,1.55919,0.00024
38993,299.97500,0.00263,17.60001,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16468,12.42104,50.37996,49.55901,178.62890,1.63389,0.57817
39993,300.06780,0.00275,17.60001,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.16468,12.42104,50.38606,49.55901,178.74350,1.63580,0.24164
40993,300.06410,0.00264,17.60001,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.40001,12.16468,12.42104,50.37690,49.55901,178.43870,1.68507,0.84692
41996,300.03250,0.00247,17.60001,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.50000,12.16101,12.42104,50.37690,49.58952,178.02920,1.59702,1.07115
42994,300.03810,0.00266,17.70000,12.20000,12.40001,12.10001,12.10001,12.20000,11.50000,12.40001,12.16468,12.42104,50.37690,49.58952,178.21170,1.65583,0.60535
43996,299.73930,0.00264,17.70000,12.30000,12.40001,12.20000,12.10001,12.20000,11.40001,12.40001,12.16101,12.42470,50.37690,49.59258,178.56110,1.59479,-0.14334
44995,299.55730,0.00255,17.70000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.40001,12.16101,12.42470,50.37690,49.58952,178.06820,1.63453,-0.35345
45995,299.94160,0.00265,17.70000,12.20000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16101,12.42470,50.37385,49.58952,177.55190,1.66600,1.16879
46995,299.85810,0.00275,17.70000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16468,12.46132,50.37690,49.59258,178.07590,1.58843,0.75304
47999,299.53690,0.00258,17.70000,12.20000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.16101,12.47231,50.37385,49.58647,178.51880,1.60306,-0.38277
49001,299.62970,0.00270,17.70000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.16101,12.47597,50.37385,49.58952,177.88680,1.59447,0.10484
49993,299.94530,0.00260,17.70000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.16468,12.47597,50.37690,49.59563,177.80670,1.62912,1.26892
50997,299.87110,0.00258,17.70000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16834,12.42104,50.37996,49.58952,178.03590,1.63866,0.56029
51996,299.88220,0.00253,17.70000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.16468,12.42470,50.37080,49.59563,177.69770,1.59002,-0.01747
52997,300.15680,0.00274,17.70000,12.30000,12.40001,12.10001,12.10001,12.10001,11.40001,12.50000,12.16101,12.42104,50.41658,49.58647,177.70880,1.65614,0.37521
53995,299.98430,0.00254,17.70000,12.30000,12.50000,12.20000,12.10001,12.20000,11.40001,12.50000,12.16468,12.42470,50.41658,49.58952,177.86450,1.65106,-0.04822
54994,300.15490,0.00262,17.70000,12.30000,12.40001,12.20000,12.10001,12.10001,11.40001,12.50000,12.16101,12.42836,50.41658,49.59563,178.07480,1.60846,0.54581
55993,300.28100,0.00258,17.70000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.40001,12.16101,12.42104,50.41352,49.62920,177.50070,1.60337,0.70369
56996,300.24760,0.00250,17.70000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.50000,12.16834,12.42470,50.41658,49.63226,176.62950,1.62467,-0.30946
57994,300.17720,0.00275,17.70000,12.30000,12.50000,12.10001,12.10001,12.10001,11.40001,12.50000,12.16468,12.42104,50.41352,49.62920,176.98780,1.55029,-0.09686
58997,300.03250,0.00269,17.70000,12.30000,12.40001,12.20000,12.10001,12.20000,11.50000,12.40001,12.16834,12.42104,50.41658,49.63226,177.70100,1.55855,0.35858
59996,299.73190,0.00263,17.70000,12.30000,12.50000,12.10001,12.00000,12.20000,11.40001,12.50000,12.16101,12.41737,50.41658,49.63226,177.99360,1.61672,0.22661
60994,299.67990,0.00267,17.70000,12.30000,12.40001,12.10001,12.10001,12.20000,11.40001,12.50000,12.16834,12.47231,50.41963,49.63226,177.77670,1.60115,-0.04660
61995,299.85630,0.00263,17.70000,12.30000,12.40001,12.10001,12.10001,12.10001,11.40001,12.40001,12.16468,12.46132,50.40742,49.63226,178.23840,1.65996,-0.67174
63000,300.15490,0.00265,17.70000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.40001,12.16101,12.47963,50.41352,49.63531,178.68680,1.64915,-0.52905
63995,300.16790,0.00266,17.70000,12.30000,12.50000,12.20000,12.10001,12.20000,11.40001,12.50000,12.16468,12.47231,50.41658,49.63531,178.66340,1.61736,0.18388
64995,299.59070,0.00253,17.70000,12.30000,12.40001,12.10001,12.10001,12.10001,11.40001,12.50000,12.16834,12.42470,50.41658,49.62920,178.28180,1.64406,-0.05055
65995,299.53870,0.00258,17.70000,12.30000,12.40001,12.10001,12.10001,12.10001,11.50000,12.50000,12.16101,12.42470,50.44099,49.62920,177.00340,1.58907,-0.33736
66993,299.69850,0.00274,17.60001,12.30000,12.40001,12.10001,12.10001,12.20000,11.50000,12.40001,12.16468,12.42104,50.44404,49.63531,176.85540,1.60464,-0.16623
67995,299.63350,0.00257,17.70000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.50000,12.16101,12.41737,50.44404,49.63531,178.04930,1.60496,0.21214
68996,299.78570,0.00262,17.70000,12.30000,12.40001,12.10001,12.10001,12.10001,11.50000,12.50000,12.16101,12.42104,50.44099,49.63531,178.26400,1.60369,0.65202
69995,300.26610,0.00289,17.70000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.40001,12.16101,12.43202,50.44404,49.63531,177.73550,1.59002,0.57817
70995,300.20310,0.00255,17.70000,12.30000,12.50000,12.10001,12.10001,12.20000,11.50000,12.40001,12.16468,12.42470,50.44404,49.63836,177.17700,1.60274,0.61501
71992,300.03070,0.00267,17.70000,12.30000,12.50000,12.10001,12.10001,12.20000,11.40001,12.50000,12.16101,12.42836,50.44404,49.63836,177.27260,1.58398,1.04131
72995,299.84510,0.00271,17.70000,12.30000,12.40001,12.20000,12.10001,12.20000,11.50000,12.50000,12.16101,12.42104,50.44404,49.63226,178.53660,1.60877,0.85640
73994,299.67430,0.00262,17.70000,12.30000,12.50000,12.20000,12.10001,12.20000,11.40001,12.40001,12.16101,12.42470,50.44404,49.62920,178.71350,1.65519,0.23091
