Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
995,300.60330,0.00266,17.10001,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02917,12.14270,53.06864,53.69122,178.19390,1.64921,7.70999
1993,300.31990,0.00253,17.10001,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02185,12.13904,53.07169,53.69427,177.54630,1.64603,8.18581
2996,300.07150,0.00252,17.10001,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.14637,53.06864,53.69122,177.27260,1.63618,7.25240
3996,300.59590,0.00276,17.10001,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.13538,53.07169,53.69122,177.73550,1.69467,7.41191
5003,300.84760,0.00258,17.10001,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.14270,53.07169,53.68511,178.02030,1.63427,8.77660
5996,299.49040,0.00264,17.10001,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.13904,53.09916,53.68816,176.81980,1.67718,10.10269
7005,298.52620,0.00263,17.10001,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.13904,53.10221,53.68511,176.91770,1.71088,11.19632
7997,298.30620,0.00270,17.10001,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.14637,53.09916,53.69122,177.25040,1.62505,10.69778
8997,298.40690,0.00274,17.10001,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.14637,53.10221,53.68511,176.65620,1.67242,10.64557
9997,298.60820,0.00236,17.10001,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.13538,53.06864,53.69427,177.11580,1.70421,11.53105
11004,298.26510,0.00260,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.13904,53.07474,53.68511,177.58200,1.67496,10.64272
11996,298.63250,0.00259,17.10001,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.13538,53.07169,53.68816,177.77110,1.65779,10.65880
12996,299.23760,0.00260,17.10001,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.14270,53.06864,53.73699,177.68430,1.64063,11.38318
14005,299.18360,0.00266,17.10001,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.10001,12.02551,12.13904,53.07169,53.72784,176.97560,1.67560,11.31363
14998,298.87840,0.00259,17.10001,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02185,12.13172,53.06253,53.72478,176.47710,1.71819,11.99043
15999,299.30080,0.00257,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02185,12.13904,53.06864,53.72784,177.43060,1.65620,9.46593
16998,300.46260,0.00260,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02917,12.13904,53.07474,53.72784,177.62870,1.72392,7.19554
17997,300.80690,0.00264,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.13538,53.06864,53.72784,177.53740,1.65430,8.06583
18994,300.66070,0.00266,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.10001,12.02185,12.13538,53.03201,53.73089,177.75780,1.65525,7.55835
19996,300.48110,0.00253,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.13538,53.02896,53.72784,177.18140,1.62918,7.47574
21003,300.64400,0.00258,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.01818,12.13172,53.03201,53.72784,177.44620,1.68545,8.09032
21996,300.74030,0.00248,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.13538,53.02896,53.72478,177.46290,1.63077,8.18115
22995,300.53670,0.00251,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.12073,53.03506,53.72784,177.60640,1.61996,7.71231
23992,300.45140,0.00271,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.10001,12.02551,12.13172,52.99234,53.73394,177.04790,1.69817,6.93608
24995,300.62000,0.00266,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.13904,52.99539,53.73089,177.30820,1.67273,8.33244
26001,301.10830,0.00250,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.13172,52.99539,53.73089,177.67210,1.62600,8.69507
27002,300.81610,0.00259,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02917,12.13904,52.99234,53.70037,177.40620,1.70961,7.49522
27994,300.54030,0.00270,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.10001,12.02551,12.13904,52.99234,53.69427,178.14270,1.64221,7.30766
28998,300.80870,0.00266,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02185,12.12073,52.99539,53.69122,178.53430,1.62696,7.70158
29999,300.90490,0.00259,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.01818,12.13538,52.99539,53.68511,178.60000,1.71024,7.95531
30997,300.72360,0.00277,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.13904,52.99539,53.68816,177.88120,1.64667,7.74039
31996,300.71990,0.00270,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02917,12.13538,52.99234,53.65459,177.94910,1.68386,7.59036
32996,300.84390,0.00283,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.14270,52.99539,53.65764,178.37860,1.64476,7.26492
33995,300.59220,0.00263,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.20000,12.02551,12.13904,52.99539,53.66069,177.66870,1.65207,7.57355
34993,300.53300,0.00270,17.20000,12.10001,12.30000,12.00000,11.90001,12.00000,10.10001,12.30000,12.02551,12.13538,52.99539,53.65459,176.84760,1.67146,7.50882
