Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
30005,300.28470,0.00240,16.90001,12.20000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.36976,52.02490,51.82654,179.55800,1.62377,3.93004
30993,300.34950,0.00248,16.90001,12.20000,12.50000,12.10001,12.10001,12.20000,11.00000,12.30000,12.15369,12.36976,52.01880,51.81738,179.50900,1.63299,3.61479
31996,300.33470,0.00243,16.90001,12.30000,12.40001,12.20000,12.10001,12.20000,11.00000,12.40001,12.15003,12.35877,52.02490,51.78075,179.65370,1.61677,3.15076
32996,300.36990,0.00254,16.90001,12.20000,12.40001,12.10001,12.10001,12.20000,11.00000,12.40001,12.15369,12.36243,52.02795,51.77160,178.78800,1.60565,3.35979
33995,300.32360,0.00259,16.90001,12.30000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.16468,12.36976,52.03101,51.78075,178.14270,1.61391,3.99620
34994,300.10120,0.00263,16.90001,12.20000,12.40001,12.10001,12.10001,12.20000,11.00000,12.30000,12.15369,12.36610,51.99133,51.78381,177.73210,1.61487,3.50107
35991,300.24760,0.00271,16.90001,12.20000,12.50000,12.10001,12.10001,12.10001,11.00000,12.40001,12.16468,12.37342,51.98218,51.78381,178.36740,1.59961,2.55496
36992,300.45510,0.00262,16.90001,12.20000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.16468,12.38074,51.98523,51.74718,179.40890,1.66605,3.51323
37991,300.51440,0.00269,16.90001,12.30000,12.50000,12.10001,12.10001,12.10001,11.00000,12.40001,12.16101,12.37342,51.98523,51.74718,179.35100,1.67209,4.57304
38994,300.57000,0.00266,16.90001,12.30000,12.40001,12.20000,12.10001,12.20000,11.00000,12.40001,12.15369,12.37342,51.98523,51.74718,179.13520,1.58785,3.72600
39997,300.30140,0.00247,16.90001,12.20000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.16468,12.37342,51.98523,51.74718,179.14520,1.64507,2.58804
40993,300.06410,0.00263,16.90001,12.20000,12.40001,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.37342,51.99133,51.74108,178.79690,1.65270,2.75327
41999,299.90260,0.00258,16.90001,12.20000,12.40001,12.10001,12.10001,12.10001,11.00000,12.30000,12.16468,12.36610,51.99438,51.74718,179.28980,1.58912,3.06780
42996,299.59820,0.00247,16.90001,12.30000,12.40001,12.10001,12.10001,12.10001,11.00000,12.40001,12.16468,12.36610,51.99133,51.74718,178.60330,1.61010,2.25008
43993,300.03620,0.00252,16.90001,12.30000,12.50000,12.20000,12.10001,12.20000,11.00000,12.40001,12.16101,12.37342,51.95166,51.74718,178.61000,1.64697,2.57320
44993,300.20310,0.00260,16.90001,12.30000,12.40001,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.36976,51.95166,51.74108,179.46560,1.64316,3.18974
45991,299.91750,0.00262,16.90001,12.30000,12.40001,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.33314,51.95471,51.74108,178.34410,1.66764,3.22282
46995,300.18830,0.00257,16.90001,12.30000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.15369,12.32215,51.95166,51.74718,178.66230,1.59929,3.77589
47994,300.19200,0.00250,16.90001,12.20000,12.40001,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.32215,51.95471,51.74413,179.65480,1.66191,3.77770
48990,300.03810,0.00260,16.90001,12.20000,12.50000,12.20000,12.10001,12.20000,11.00000,12.40001,12.16468,12.32948,51.95166,51.75024,179.29430,1.65079,3.07977
49991,300.16420,0.00241,16.90001,12.20000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.31849,51.95166,51.75024,178.52210,1.62090,3.55954
50991,300.30510,0.00253,16.90001,12.30000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.37342,51.95776,51.74718,179.30760,1.64316,4.00316
51999,300.17530,0.00256,16.90001,12.30000,12.50000,12.10001,12.10001,12.20000,11.00000,12.30000,12.16468,12.37342,51.94861,51.75329,179.99750,1.66922,3.48068
52996,299.96390,0.00257,16.90001,12.20000,12.50000,12.10001,12.10001,12.20000,11.00000,12.30000,12.15003,12.35877,51.98523,51.74718,178.93040,1.63457,2.87378
53995,299.73930,0.00260,16.90001,12.30000,12.40001,12.10001,12.10001,12.10001,11.00000,12.40001,12.16101,12.36976,51.99744,51.74718,178.28510,1.64665,2.84070
54991,299.72450,0.00246,16.90001,12.20000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.36610,51.98523,51.74413,178.85700,1.67018,3.61282
55991,300.19200,0.00259,16.90001,12.30000,12.40001,12.10001,12.10001,12.10001,11.00000,12.40001,12.15003,12.36976,51.98218,51.74108,178.97050,1.67240,4.52119
56989,300.31440,0.00263,16.90001,12.30000,12.40001,12.10001,12.10001,12.20000,11.10001,12.40001,12.15369,12.36976,51.98218,51.74413,178.66670,1.64506,4.57735
57990,300.14380,0.00247,16.90001,12.30000,12.40001,12.10001,12.10001,12.20000,11.10001,12.40001,12.16101,12.37342,51.95166,51.74108,178.80030,1.62599,4.01550
58997,300.21240,0.00250,16.90001,12.20000,12.40001,12.10001,12.10001,12.20000,11.10001,12.40001,12.16468,12.36610,51.95166,51.74108,178.53660,1.63425,3.96062
59993,300.32920,0.00251,16.90001,12.30000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.31849,51.95166,51.77465,179.20970,1.63267,3.72923
60994,300.36440,0.00264,16.90001,12.20000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.31849,51.95166,51.78075,179.92070,1.63171,3.53844
61992,300.46810,0.00259,16.90001,12.30000,12.50000,12.10001,12.10001,12.10001,11.10001,12.30000,12.16468,12.31849,51.94861,51.77465,179.60030,1.61423,3.63231
62991,300.19200,0.00264,16.90001,12.30000,12.40001,12.10001,12.10001,12.20000,11.10001,12.40001,12.16101,12.32215,51.94861,51.78075,179.56910,1.66636,3.08818
63989,299.89150,0.00268,16.90001,12.20000,12.40001,12.10001,12.10001,12.10001,11.10001,12.30000,12.16101,12.32948,51.95166,51.78075,179.19190,1.60024,2.34251
64994,299.91750,0.00264,16.90001,12.20000,12.40001,12.10001,12.10001,12.20000,11.10001,12.40001,12.16101,12.37342,51.95166,51.78075,178.90150,1.62567,3.31706
65992,299.97870,0.00256,16.90001,12.30000,12.40001,12.10001,12.10001,12.20000,11.10001,12.40001,12.16468,12.37342,51.95166,51.78991,178.57000,1.66541,3.86137
66991,300.34950,0.00259,16.90001,12.30000,12.40001,12.10001,12.10001,12.20000,11.10001,12.40001,12.16101,12.37708,51.98218,51.78075,178.71460,1.59960,4.20595
67990,300.29210,0.00271,16.90001,12.30000,12.40001,12.10001,12.10001,12.10001,11.10001,12.40001,12.15369,12.36243,51.99438,51.78991,178.12160,1.59484,3.62425
68992,299.90640,0.00262,16.90001,12.30000,12.50000,12.10001,12.10001,12.20000,11.10001,12.40001,12.13172,12.34779,51.96997,51.76550,177.84560,1.61645,2.39206
69989,300.06590,0.00247,16.90001,12.30000,12.40001,12.10001,12.10001,12.20000,11.10001,12.40001,12.16101,12.32948,51.99133,51.82349,178.05480,1.66922,2.99538
70991,300.40140,0.00282,16.90001,12.30000,12.50000,12.10001,12.10001,12.10001,11.10001,12.40001,12.16468,12.31849,52.02795,51.81738,178.24400,1.62440,4.03088
71990,300.52180,0.00264,16.90001,12.30000,12.50000,12.10001,12.10001,12.20000,11.10001,12.40001,12.16101,12.33314,52.02795,51.82349,179.80050,1.66128,4.72038
72991,300.38850,0.00265,16.90001,12.30000,12.40001,12.10001,12.10001,12.20000,11.10001,12.40001,12.14637,12.31849,52.02490,51.82043,179.58580,1.61677,4.08614
73989,300.20680,0.00253,16.90001,12.20000,12.40001,12.10001,12.10001,12.10001,11.10001,12.40001,12.16101,12.37708,52.03101,51.86011,178.57660,1.64538,3.55382
74990,300.48660,0.00260,17.00000,12.30000,12.40001,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.37342,52.02795,51.86621,179.01830,1.59738,4.30251
75991,300.29210,0.00250,16.90001,12.20000,12.40001,12.20000,12.10001,12.20000,11.10001,12.30000,12.16101,12.37708,52.02795,51.85706,178.52770,1.61359,3.89427
76993,300.02510,0.00262,16.90001,12.30000,12.50000,12.10001,12.10001,12.20000,11.10001,12.40001,12.16101,12.36976,52.02795,51.85706,178.02590,1.63553,3.41325
77992,300.21610,0.00250,16.90001,12.30000,12.50000,12.10001,12.10001,12.20000,11.10001,12.40001,12.15369,12.37708,52.03101,51.85095,178.88370,1.60755,3.67952
78990,300.29580,0.00253,16.90001,12.20000,12.40001,12.10001,12.00000,12.20000,11.10001,12.40001,12.16101,12.37342,52.02795,51.85095,179.37660,1.62154,3.82221
79990,300.45140,0.00245,16.90001,12.30000,12.50000,12.10001,12.10001,12.20000,11.10001,12.40001,12.16101,12.38074,52.05847,51.85095,179.18300,1.60310,3.92235
80989,300.31440,0.00257,16.90001,12.30000,12.40001,12.20000,12.10001,12.20000,11.10001,12.40001,12.16101,12.37342,52.05847,51.85400,178.30960,1.56591,3.06207
81989,300.30140,0.00247,16.90001,12.20000,12.40001,12.10001,12.10001,12.10001,11.10001,12.40001,12.16101,12.37342,52.05847,51.84790,178.51210,1.62377,3.48766
82989,300.04550,0.00263,16.90001,12.30000,12.50000,12.10001,12.10001,12.20000,11.10001,12.40001,12.16468,12.37342,52.05542,51.85400,178.50770,1.63235,3.91179
83990,299.88970,0.00241,16.90001,12.20000,12.40001,12.10001,12.10001,12.20000,11.10001,12.40001,12.16101,12.37708,52.05847,51.82043,178.54880,1.58943,3.33655
84988,300.47560,0.00246,16.90001,12.30000,12.40001,12.20000,12.10001,12.20000,11.10001,12.40001,12.16101,12.36976,52.03101,51.81738,179.36330,1.61073,3.99138
